,avg_throughput,latency_90th,n_clients,threads_per_client,total_threads
0,7.111111111111111,5.405074,1.0,2.0,2.0
1,17.247524752475247,7.2487954000000006,1.0,4.0,4.0
3,34.99,6.166829000000001,2.0,4.0,8.0
2,35.05050505050505,8.6748479,1.0,8.0,8.0
4,69.54545454545455,8.604926800000001,1.0,16.0,16.0
