64833;1
1653091464182072686;2
6853911;3
1653091464188436413;4
13755015;5
1653091464195043040;6
20407272;7
1653091464200540668;8
25022346;9
1653091464204577773;10
28503080;11
1653091464207812138;12
31897707;13
1653091464211377998;14
35293797;15
1653091464240814000;16
39070604;17
1653091464244152144;18
42468765;19
1653091464247435376;20
45734462;21
1653091464250809391;22
49013911;23
1653091464254159220;24
52297239;25
1653091464257441958;26
55483942;27
1653091464260749474;28
58646418;29
1653091464264144967;30
61931714;31
1653091464267408189;32
65324356;33
1653091464270520851;34
68630046;35
1653091464273664871;36
71869550;37
1653091464276877794;38
75112145;39
1653091464280104939;40
78313547;41
1653091464283358561;42
81482338;43
1653091464286744579;44
84817392;45
1653091464292711415;46
87981536;47
1653091464296005313;48
91626194;49
1653091464299557802;50
94985778;51
1653091464302842125;52
